pid,ad_attitude,adblocker,political_affiliation
39,4,NotSure,democrat
32,2,NotSure,democrat
20,6,No,independent
1,2,Yes,democrat
33,2,Yes,democrat
75,4,No,other
4,2,Yes,democrat
21,1,Yes,democrat
26,3,Yes,democrat
8,3,Yes,democrat
99,7,No,democrat
23,1,Yes,democrat
37,1,Yes,democrat
44,3,Yes,republican
41,1,Yes,republican
19,4,No,other
24,3,Yes,other
108,6,No,
36,2,Yes,independent
29,3,No,democrat
72,4,No,democrat
35,4,No,independent
27,2,Yes,democrat
78,1,Yes,other
30,3,Yes,democrat
50,4,No,other
42,2,NotSure,democrat
65,3,Yes,democrat
56,1,Yes,democrat
34,3,No,democrat
53,2,No,democrat
45,2,Yes,democrat
57,2,Yes,democrat
40,4,Yes,democrat
68,3,Yes,democrat
73,1,No,democrat
43,2,Yes,democrat
51,5,No,democrat
61,7,No,democrat
49,2,No,independent
58,2,Yes,independent
60,1,Yes,democrat
59,2,Yes,democrat
80,5,No,republican
55,2,Yes,democrat
52,4,No,republican
71,1,No,independent
47,2,Yes,independent
63,5,No,democrat
62,2,No,democrat
38,2,Yes,independent
70,2,Yes,democrat
74,1,Yes,republican
64,1,Yes,other
69,3,No,republican
66,2,Yes,independent
76,3,Yes,independent
67,4,Yes,independent
198,2,Yes,independent
187,1,Yes,democrat
162,3,Yes,democrat
147,1,Yes,democrat
116,1,No,republican
368,1,Yes,independent
115,3,Yes,democrat
145,5,Yes,other
127,3,Yes,independent
111,5,No,prefernot
193,3,Yes,independent
176,1,Yes,democrat
192,2,Yes,democrat
205,2,Yes,republican
212,2,Yes,democrat
166,3,Yes,independent
182,3,No,democrat
117,3,Yes,democrat
152,4,NotSure,democrat
118,2,NotSure,democrat
172,2,Yes,independent
120,3,Yes,democrat
185,4,No,other
161,2,No,republican
121,4,No,democrat
189,7,No,democrat
119,6,Yes,prefernot
138,2,No,other
122,5,No,republican
151,1,No,democrat
201,4,Yes,republican
446,6,No,democrat
146,5,NotSure,democrat
128,4,Yes,democrat
144,1,Yes,democrat
132,3,Yes,democrat
150,1,Yes,democrat
541,2,Yes,democrat
170,3,NotSure,democrat
200,3,NotSure,independent
125,1,Yes,independent
149,1,NotSure,republican
123,5,No,democrat
173,2,Yes,democrat
153,1,Yes,democrat
202,1,No,independent
168,1,Yes,democrat
126,2,Yes,democrat
179,2,No,democrat
133,3,No,democrat
164,2,No,independent
197,1,Yes,democrat
135,2,Yes,democrat
181,3,Yes,democrat
137,2,Yes,independent
194,3,No,republican
196,2,Yes,democrat
134,2,Yes,other
136,2,Yes,democrat
157,3,Yes,republican
148,1,No,democrat
188,2,Yes,independent
141,2,Yes,democrat
158,2,Yes,democrat
167,1,Yes,democrat
580,3,No,democrat
191,2,Yes,democrat
190,1,Yes,democrat
159,5,Yes,independent
536,1,Yes,democrat
171,2,Yes,democrat
169,1,NotSure,other
163,1,Yes,other
177,2,Yes,democrat
375,1,Yes,democrat
154,5,No,democrat
129,1,Yes,democrat
160,2,No,democrat
520,4,Yes,independent
371,5,Yes,independent
174,3,Yes,independent
143,2,No,prefernot
130,2,Yes,democrat
180,2,No,democrat
184,1,Yes,democrat
178,1,Yes,democrat
609,1,Yes,democrat
220,3,No,other
278,1,Yes,independent
310,2,Yes,other
227,1,No,
522,2,No,republican
281,2,Yes,democrat
551,3,NotSure,democrat
219,2,Yes,democrat
210,2,Yes,democrat
224,3,Yes,democrat
269,2,No,republican
206,3,No,democrat
262,7,No,democrat
155,3,No,independent
222,1,No,republican
284,2,Yes,democrat
203,2,Yes,democrat
259,3,Yes,democrat
255,3,No,republican
260,6,No,democrat
288,5,Yes,independent
223,1,Yes,other
287,4,No,democrat
215,1,Yes,other
276,6,No,democrat
199,4,No,republican
280,2,Yes,democrat
218,1,Yes,independent
234,1,Yes,republican
251,3,Yes,democrat
244,4,No,independent
286,1,Yes,other
275,5,No,republican
261,2,NotSure,democrat
291,2,Yes,republican
242,4,No,republican
241,2,Yes,democrat
274,4,No,democrat
292,4,NotSure,republican
282,4,No,republican
239,2,NotSure,democrat
236,1,Yes,republican
229,5,No,republican
216,2,Yes,independent
266,3,Yes,independent
265,4,No,republican
226,2,Yes,democrat
267,2,No,independent
583,2,Yes,democrat
225,3,No,democrat
277,4,Yes,independent
290,3,No,democrat
243,1,Yes,democrat
253,1,Yes,democrat
268,3,Yes,democrat
235,2,No,independent
256,7,Yes,independent
257,1,Yes,republican
273,3,Yes,democrat
214,3,Yes,democrat
209,3,Yes,independent
232,2,Yes,independent
230,4,No,other
238,4,No,independent
307,4,No,independent
217,6,No,republican
270,2,Yes,independent
285,6,No,democrat
233,2,Yes,independent
283,5,No,democrat
581,5,NotSure,democrat
221,1,Yes,republican
263,2,No,independent
532,1,Yes,democrat
264,1,No,independent
246,1,No,democrat
237,1,Yes,independent
279,3,Yes,independent
252,4,No,democrat
293,3,Yes,democrat
250,2,No,republican
374,1,No,independent
247,4,No,independent
207,5,No,democrat
521,3,Yes,independent
584,3,Yes,democrat
607,5,No,democrat
175,1,Yes,independent
301,3,No,other
471,2,Yes,independent
442,2,No,democrat
299,6,NotSure,republican
585,3,No,republican
480,1,Yes,democrat
391,2,No,democrat
380,2,Yes,republican
399,2,Yes,republican
248,1,Yes,
370,1,Yes,independent
390,2,No,democrat
460,2,No,independent
271,1,No,independent
400,4,No,democrat
476,2,Yes,democrat
425,4,Yes,democrat
439,3,No,democrat
430,2,Yes,independent
367,3,Yes,democrat
382,3,No,democrat
427,2,Yes,democrat
407,5,No,republican
440,1,No,independent
468,5,Yes,republican
433,2,Yes,independent
195,2,Yes,democrat
424,1,Yes,independent
388,3,No,democrat
777,1,Yes,independent
297,3,Yes,democrat
305,2,No,republican
426,3,Yes,democrat
419,2,Yes,independent
475,3,Yes,prefernot
464,1,Yes,democrat
422,2,No,democrat
531,2,Yes,democrat
474,4,No,other
481,3,Yes,independent
420,3,Yes,republican
411,1,Yes,republican
397,3,No,democrat
405,3,No,democrat
309,1,No,democrat
423,2,No,democrat
373,1,No,
389,5,No,democrat
429,5,No,independent
454,1,Yes,democrat
441,4,No,independent
449,3,No,democrat
428,5,No,democrat
434,2,Yes,other
455,2,Yes,republican
435,3,No,independent
295,2,No,independent
300,2,Yes,republican
453,2,Yes,democrat
392,1,No,democrat
379,3,No,independent
445,2,Yes,republican
438,2,Yes,republican
294,3,Yes,democrat
479,2,Yes,prefernot
385,1,Yes,democrat
523,3,Yes,other
353,4,Yes,independent
395,2,No,democrat
376,3,NotSure,democrat
401,4,Yes,democrat
383,2,No,democrat
456,2,Yes,independent
372,2,No,democrat
304,3,No,democrat
461,3,NotSure,democrat
306,4,Yes,democrat
478,1,NotSure,democrat
298,4,No,democrat
308,6,NotSure,republican
303,1,Yes,democrat
596,1,Yes,independent
245,2,No,democrat
289,4,No,democrat
598,2,Yes,democrat
593,2,Yes,democrat
349,5,Yes,republican
408,1,Yes,republican
366,2,NotSure,democrat
359,2,NotSure,democrat
322,3,No,republican
316,2,Yes,democrat
528,3,Yes,democrat
334,4,No,independent
403,2,Yes,democrat
344,3,Yes,democrat
369,4,No,democrat
457,2,Yes,independent
409,5,Yes,independent
336,1,Yes,independent
186,2,Yes,democrat
458,5,Yes,independent
346,1,Yes,democrat
386,3,Yes,democrat
418,4,No,independent
311,3,No,other
582,2,Yes,independent
402,3,NotSure,
394,6,No,republican
447,2,Yes,other
595,6,No,democrat
594,7,Yes,democrat
343,4,No,republican
358,2,Yes,democrat
314,4,NotSure,democrat
448,4,Yes,democrat
443,1,Yes,democrat
364,7,Yes,independent
338,3,Yes,republican
337,3,No,democrat
355,3,No,independent
404,1,Yes,prefernot
361,5,NotSure,republican
451,4,Yes,democrat
329,2,Yes,democrat
436,2,No,republican
317,4,Yes,independent
444,2,NotSure,democrat
360,3,Yes,democrat
776,2,No,independent
410,1,Yes,democrat
431,1,Yes,republican
347,1,Yes,republican
328,2,Yes,democrat
396,5,No,independent
432,3,Yes,democrat
325,1,Yes,other
315,3,Yes,democrat
377,4,No,democrat
332,3,Yes,democrat
354,3,No,democrat
387,4,Yes,democrat
352,1,Yes,democrat
524,2,Yes,independent
414,1,No,independent
321,2,Yes,democrat
384,2,Yes,independent
527,6,Yes,republican
415,1,Yes,republican
348,1,Yes,democrat
312,3,No,democrat
330,4,Yes,republican
341,4,Yes,democrat
356,3,Yes,democrat
393,2,No,independent
365,3,Yes,democrat
412,5,No,democrat
231,6,Yes,democrat
327,2,Yes,other
381,3,Yes,democrat
363,1,Yes,democrat
323,3,No,democrat
335,2,Yes,democrat
357,1,Yes,republican
459,4,No,democrat
362,1,Yes,democrat
416,4,No,independent
339,5,No,republican
326,2,Yes,democrat
398,3,Yes,independent
324,5,No,prefernot
417,2,No,democrat
320,2,No,democrat
413,5,No,republican
342,4,No,republican
611,2,Yes,independent
612,3,No,democrat
614,4,Yes,republican
313,3,Yes,prefernot
340,1,Yes,democrat
610,2,No,independent
139,1,Yes,independent
318,2,Yes,democrat
494,5,No,republican
469,6,No,democrat
780,1,Yes,independent
600,1,Yes,democrat
649,2,Yes,democrat
639,2,Yes,republican
452,2,Yes,other
484,2,Yes,independent
576,2,Yes,democrat
488,7,No,democrat
487,5,No,democrat
554,3,No,democrat
486,2,No,democrat
574,2,Yes,republican
492,2,Yes,democrat
658,4,No,democrat
533,5,NotSure,democrat
534,1,Yes,independent
592,2,Yes,democrat
462,3,NotSure,republican
661,2,Yes,prefernot
640,2,Yes,democrat
485,2,Yes,democrat
491,1,Yes,independent
662,3,Yes,democrat
540,1,No,republican
482,2,No,other
651,6,No,democrat
656,5,NotSure,democrat
548,3,Yes,republican
615,5,NotSure,democrat
659,1,Yes,democrat
655,3,Yes,democrat
550,5,No,republican
602,1,Yes,democrat
603,2,No,independent
646,2,NotSure,republican
350,3,No,democrat
577,3,Yes,democrat
560,4,No,democrat
616,2,Yes,democrat
604,2,NotSure,democrat
681,2,Yes,democrat
489,1,Yes,democrat
579,1,Yes,democrat
605,1,NotSure,independent
561,2,Yes,independent
539,1,No,republican
490,1,Yes,republican
1016,5,No,independent
632,2,Yes,democrat
570,3,Yes,republican
572,1,Yes,democrat
573,1,Yes,republican
630,2,Yes,democrat
601,3,Yes,democrat
778,3,No,independent
558,4,No,independent
599,3,Yes,independent
564,2,Yes,democrat
631,6,No,democrat
636,2,Yes,democrat
1015,2,Yes,democrat
619,2,Yes,independent
647,2,Yes,independent
680,2,No,democrat
676,3,Yes,independent
657,4,No,democrat
674,2,Yes,democrat
650,3,Yes,independent
635,1,Yes,democrat
621,4,No,democrat
623,6,No,democrat
677,2,Yes,independent
637,2,Yes,republican
625,2,Yes,independent
679,7,Yes,democrat
628,1,No,republican
678,3,Yes,independent
638,1,Yes,democrat
663,1,No,democrat
779,2,Yes,democrat
626,2,Yes,independent
653,2,Yes,other
634,4,No,democrat
675,3,Yes,democrat
618,2,Yes,democrat
622,3,No,democrat
624,1,No,democrat
654,1,Yes,republican
648,3,No,independent
514,5,No,
538,1,Yes,independent
495,3,Yes,independent
559,2,Yes,democrat
547,2,Yes,democrat
578,2,No,democrat
249,1,Yes,democrat
688,3,No,republican
669,1,Yes,republican
665,2,Yes,independent
553,3,No,independent
502,1,Yes,democrat
685,2,Yes,independent
513,1,Yes,democrat
613,3,Yes,democrat
568,6,No,republican
526,3,No,independent
556,1,Yes,democrat
672,5,No,republican
687,1,Yes,democrat
671,4,No,democrat
698,2,Yes,independent
503,3,Yes,republican
525,4,No,republican
683,1,Yes,democrat
660,3,Yes,other
496,2,Yes,independent
555,5,No,independent
686,4,No,democrat
516,3,Yes,independent
670,6,No,democrat
694,2,NotSure,independent
642,1,No,independent
463,5,No,republican
641,2,No,democrat
345,3,No,other
507,2,Yes,republican
696,1,Yes,democrat
421,6,No,democrat
498,4,No,independent
569,5,No,democrat
508,1,Yes,democrat
643,6,No,prefernot
542,1,Yes,independent
470,3,No,independent
510,3,No,democrat
515,4,Yes,democrat
296,2,Yes,democrat
142,2,Yes,independent
504,1,Yes,independent
684,3,Yes,democrat
571,2,Yes,democrat
691,2,No,democrat
473,2,No,democrat
506,4,No,republican
512,2,No,democrat
505,1,Yes,democrat
543,2,Yes,independent
689,2,Yes,republican
529,2,No,democrat
668,1,Yes,independent
544,2,No,republican
557,1,Yes,democrat
530,3,Yes,independent
537,4,No,independent
467,2,Yes,democrat
499,5,NotSure,republican
695,4,No,democrat
511,5,No,republican
545,1,No,democrat
783,1,Yes,independent
493,2,Yes,democrat
546,2,Yes,independent
497,2,Yes,democrat
517,5,Yes,democrat
566,5,No,
509,3,Yes,democrat
549,3,No,democrat
562,1,Yes,independent
501,4,No,democrat
575,2,Yes,democrat
666,2,Yes,democrat
690,2,Yes,independent
673,3,No,republican
667,2,No,democrat
500,5,No,republican
563,3,No,republican
567,7,No,republican
1018,1,Yes,democrat
1019,2,Yes,democrat
644,5,Yes,independent
825,2,Yes,democrat
732,1,Yes,republican
828,2,No,republican
652,4,Yes,independent
862,1,Yes,independent
836,2,No,democrat
861,4,Yes,democrat
805,7,No,democrat
869,2,No,democrat
722,2,Yes,prefernot
871,4,No,independent
731,3,Yes,democrat
827,2,Yes,democrat
860,5,No,democrat
853,2,Yes,democrat
856,3,No,republican
858,6,No,republican
699,2,Yes,other
821,2,Yes,independent
720,2,Yes,other
719,3,No,democrat
878,2,Yes,republican
884,3,Yes,independent
796,2,No,republican
850,5,No,republican
810,2,Yes,democrat
844,5,No,independent
847,3,No,democrat
874,5,NotSure,independent
865,7,Yes,republican
875,4,No,democrat
845,5,No,democrat
834,1,Yes,independent
880,2,Yes,independent
863,5,No,independent
873,3,Yes,republican
787,3,NotSure,independent
859,2,No,independent
841,5,No,republican
848,3,Yes,democrat
832,1,No,democrat
840,4,No,democrat
773,2,Yes,republican
857,3,No,democrat
870,2,Yes,democrat
721,1,Yes,independent
795,5,No,republican
868,5,No,independent
758,4,No,democrat
879,5,No,other
794,1,Yes,other
830,5,No,democrat
809,2,Yes,republican
831,3,No,independent
664,4,Yes,republican
803,2,Yes,democrat
867,1,Yes,independent
838,4,No,democrat
747,2,Yes,independent
864,1,Yes,democrat
837,3,Yes,democrat
829,1,NotSure,democrat
774,3,No,democrat
851,2,Yes,independent
793,1,Yes,republican
842,1,Yes,independent
849,1,Yes,democrat
824,3,NotSure,democrat
846,1,No,democrat
819,3,Yes,democrat
826,2,NotSure,democrat
797,3,No,democrat
822,1,Yes,independent
852,2,Yes,republican
876,5,No,democrat
854,1,No,democrat
806,3,No,democrat
835,2,Yes,democrat
620,1,Yes,independent
823,3,Yes,democrat
872,1,Yes,republican
833,5,Yes,independent
866,2,No,democrat
784,1,Yes,democrat
769,1,Yes,independent
726,1,Yes,independent
712,5,Yes,democrat
718,4,No,independent
801,2,Yes,independent
788,5,No,other
756,1,Yes,independent
713,3,Yes,independent
765,5,No,republican
709,2,Yes,democrat
789,1,No,republican
812,2,Yes,democrat
781,1,Yes,independent
760,3,No,republican
716,2,Yes,democrat
703,1,No,democrat
785,4,Yes,independent
697,4,No,independent
1011,2,Yes,democrat
706,2,No,independent
725,3,Yes,democrat
1013,3,Yes,democrat
751,1,Yes,republican
737,1,NotSure,democrat
736,1,Yes,independent
764,2,Yes,independent
705,3,Yes,independent
791,1,Yes,democrat
730,5,No,independent
811,1,Yes,democrat
802,1,No,independent
729,2,NotSure,other
743,1,Yes,democrat
1021,4,NotSure,prefernot
693,2,No,democrat
738,2,Yes,democrat
707,3,No,independent
746,5,Yes,republican
790,2,Yes,democrat
772,2,Yes,independent
804,3,Yes,republican
742,3,No,democrat
753,3,Yes,democrat
701,7,No,independent
740,2,Yes,democrat
748,3,No,democrat
807,1,Yes,independent
782,1,Yes,democrat
714,6,No,democrat
763,4,No,independent
792,1,Yes,democrat
818,3,No,republican
775,1,Yes,republican
717,3,Yes,independent
755,3,Yes,democrat
798,1,Yes,democrat
814,2,Yes,independent
728,1,No,democrat
754,6,No,democrat
1000,1,Yes,independent
744,6,No,democrat
766,1,Yes,democrat
986,2,No,democrat
715,1,Yes,democrat
734,2,Yes,independent
700,1,No,independent
735,2,No,independent
771,2,Yes,democrat
813,2,No,independent
994,1,Yes,democrat
800,2,Yes,democrat
767,1,Yes,independent
1030,1,Yes,democrat
710,5,No,independent
757,2,Yes,democrat
724,6,No,democrat
816,3,No,republican
817,1,Yes,independent
704,1,Yes,democrat
759,3,Yes,republican
799,3,Yes,democrat
749,1,No,republican
761,3,Yes,republican
741,3,No,democrat
723,3,Yes,democrat
745,2,No,independent
762,2,No,democrat
1022,1,Yes,independent
1113,2,Yes,democrat
881,2,Yes,democrat
882,2,Yes,independent
1128,4,Yes,independent
1155,1,Yes,independent
1112,3,No,independent
1084,1,Yes,independent
1024,3,No,democrat
995,4,No,independent
988,6,No,democrat
1078,2,Yes,independent
1073,5,No,independent
1194,3,Yes,democrat
1007,3,No,democrat
1111,2,No,other
1130,1,No,democrat
992,1,Yes,independent
1043,5,No,independent
1077,5,Yes,independent
997,2,No,republican
1108,1,Yes,other
1006,2,Yes,democrat
1001,2,Yes,republican
1072,3,No,republican
1014,1,Yes,republican
987,2,Yes,independent
1005,2,Yes,independent
914,2,No,democrat
1075,1,Yes,independent
1042,3,No,other
1079,1,No,independent
1071,4,No,democrat
1109,1,Yes,democrat
1002,3,No,republican
1045,2,No,independent
883,2,Yes,republican
1082,1,Yes,republican
1117,2,NotSure,republican
1067,1,Yes,democrat
996,5,Yes,democrat
1104,1,Yes,democrat
1083,4,No,independent
1120,3,No,democrat
1004,2,Yes,independent
1003,3,No,independent
1044,5,No,republican
1107,7,No,democrat
1025,2,Yes,democrat
1188,2,Yes,independent
1153,1,Yes,other
1156,1,Yes,democrat
1185,5,No,democrat
1160,4,No,republican
1162,3,Yes,democrat
1152,2,Yes,democrat
1159,3,Yes,independent
1158,2,Yes,independent
1154,3,Yes,independent
896,6,No,independent
908,2,NotSure,democrat
928,2,Yes,independent
808,3,Yes,democrat
974,4,No,independent
963,3,Yes,democrat
902,2,Yes,democrat
909,3,No,independent
886,4,No,independent
910,5,No,democrat
945,3,No,democrat
932,2,Yes,democrat
942,1,Yes,democrat
993,2,Yes,democrat
915,4,No,democrat
965,3,Yes,independent
905,4,No,democrat
989,1,Yes,other
892,1,Yes,independent
991,2,Yes,democrat
917,5,No,democrat
920,1,Yes,republican
907,2,Yes,democrat
946,1,Yes,republican
968,1,Yes,prefernot
948,6,No,democrat
934,2,No,independent
925,4,NotSure,independent
918,1,No,democrat
911,6,No,democrat
939,2,Yes,democrat
970,5,No,democrat
949,4,Yes,republican
927,2,Yes,independent
964,6,No,democrat
941,2,No,independent
967,5,No,independent
904,3,NotSure,independent
913,4,No,democrat
943,2,Yes,independent
893,3,Yes,democrat
960,6,No,independent
933,4,No,republican
955,1,Yes,democrat
916,4,No,democrat
938,1,Yes,republican
894,2,NotSure,republican
930,5,Yes,republican
947,3,Yes,independent
936,3,No,democrat
952,2,Yes,independent
971,3,No,independent
924,5,Yes,republican
899,3,Yes,democrat
931,2,No,independent
959,1,Yes,independent
890,1,Yes,other
926,1,Yes,democrat
966,2,Yes,democrat
912,5,No,independent
906,2,NotSure,republican
887,2,No,independent
937,4,No,democrat
973,3,Yes,democrat
954,2,Yes,democrat
950,4,Yes,other
958,2,Yes,democrat
919,4,No,democrat
903,1,No,independent
961,6,No,republican
922,5,No,democrat
888,1,Yes,independent
895,1,No,other
944,3,Yes,democrat
935,2,Yes,democrat
951,4,No,independent
962,4,No,democrat
900,3,No,democrat
969,3,Yes,democrat
889,3,No,republican
923,4,No,independent
898,4,No,independent
885,1,Yes,democrat
901,4,No,democrat
1058,2,No,independent
1085,3,No,democrat
1173,1,Yes,democrat
1066,1,Yes,independent
1118,2,Yes,democrat
999,6,No,democrat
1052,4,No,other
1059,2,Yes,democrat
998,2,No,democrat
1103,2,Yes,prefernot
1092,1,Yes,democrat
1094,1,Yes,democrat
1070,4,Yes,independent
1031,2,Yes,independent
1050,2,Yes,independent
1068,1,No,democrat
1053,2,Yes,democrat
1131,2,Yes,democrat
1065,3,Yes,democrat
1061,1,Yes,independent
1106,2,No,republican
1086,1,No,independent
1170,3,No,democrat
1087,2,No,independent
1124,4,No,democrat
1089,2,Yes,democrat
1114,5,No,democrat
1012,2,No,democrat
1136,7,No,republican
1088,4,No,democrat
1126,5,No,republican
1057,2,Yes,other
1048,1,Yes,democrat
1095,1,Yes,republican
1178,1,No,democrat
1093,2,No,independent
1047,1,Yes,democrat
1049,6,No,republican
1168,3,Yes,democrat
1046,7,No,democrat
1192,1,Yes,independent
1167,1,No,independent
1069,2,No,other
1110,1,Yes,democrat
1161,4,No,democrat
1125,3,No,democrat
1090,3,Yes,other
1176,2,Yes,democrat
1172,1,Yes,prefernot
1177,6,No,independent
1179,2,Yes,democrat
1189,3,No,independent
1183,2,No,democrat
1182,1,Yes,republican
1181,2,Yes,democrat
1174,2,Yes,republican
1195,4,Yes,independent
1180,5,Yes,independent
1040,4,Yes,democrat
1080,2,Yes,republican
1063,1,Yes,independent
1038,5,Yes,republican
1023,2,Yes,democrat
1060,3,No,democrat
1064,2,No,democrat
975,1,Yes,democrat
1143,1,Yes,independent
1033,7,Yes,democrat
1017,2,Yes,other
953,2,Yes,democrat
1029,2,No,democrat
972,2,No,democrat
1116,1,NotSure,independent
981,2,Yes,democrat
1102,2,Yes,democrat
1096,1,Yes,democrat
977,2,Yes,democrat
1137,5,No,democrat
1037,6,No,democrat
1035,2,NotSure,democrat
980,5,No,republican
1008,3,Yes,republican
1009,4,No,independent
1127,1,Yes,democrat
1041,3,No,republican
1147,3,Yes,democrat
1026,1,Yes,independent
1187,2,Yes,democrat
1100,3,No,independent
978,3,Yes,democrat
1101,1,Yes,democrat
1074,2,Yes,prefernot
985,1,Yes,democrat
1099,4,Yes,democrat
1115,1,Yes,independent
1144,5,No,democrat
983,1,Yes,other
979,6,No,democrat
1091,2,No,independent
982,2,Yes,democrat
1020,4,No,democrat
1036,4,Yes,democrat
1054,2,No,democrat
976,3,Yes,independent
1056,1,NotSure,independent
1139,4,Yes,democrat
984,4,Yes,republican
1032,5,NotSure,independent
1062,2,Yes,democrat
1039,1,No,democrat
1098,2,Yes,independent
1119,1,Yes,republican
1122,1,No,democrat
1142,1,Yes,democrat
1141,3,No,democrat
1145,2,No,prefernot
1146,3,No,independent
1140,2,Yes,republican
1184,1,Yes,democrat
1138,2,Yes,prefernot
1196,6,Yes,independent
1193,2,Yes,democrat
1197,4,Yes,democrat
